country,region,happiness_score,gdp_per_capita,social_support,healthy_life_expectancy,freedom_to_make_life_choices,generosity,perceptions_of_corruption,cluster,hierarchical_cluster,PC1,PC2
Sri Lanka,South Asia,3.898,1.361,1.179,0.586,0.583,0.144,0.031,0,1,-0.21931379640475657,-0.5130650538795343
Bangladesh,South Asia,3.886,1.122,0.249,0.513,0.775,0.14,0.167,1,0,-1.370499352549232,0.8853347050681869
Ethiopia,Sub-Saharan Africa,3.861,0.792,0.915,0.42,0.441,0.27,0.101,1,0,-1.928313980778089,1.3756468181538393
Tanzania,Sub-Saharan Africa,3.781,0.82,0.706,0.38,0.709,0.191,0.257,1,0,-1.3658334297851973,1.6610061335244461
Comoros,Sub-Saharan Africa,3.566,0.896,0.328,0.37,0.172,0.128,0.16,1,0,-3.4398622801260688,-0.4476202955663212
Yemen,,3.561,0.671,1.281,0.293,0.362,0.08,0.113,1,0,-2.259124019232495,-0.841633669895248
Zambia,Sub-Saharan Africa,3.502,0.899,0.809,0.264,0.727,0.168,0.109,1,0,-1.8578744720981872,1.1380890044692606
Eswatini,,3.502,1.255,0.925,0.176,0.284,0.059,0.116,1,0,-2.612713540078342,-1.2647701122638402
Malawi,Sub-Saharan Africa,3.421,0.617,0.41,0.349,0.571,0.135,0.136,1,0,-2.8748020188596937,0.6776938105237099
Botswana,Sub-Saharan Africa,3.383,1.445,0.969,0.241,0.567,0.014,0.082,1,0,-1.5608180063739845,-1.3788257301038565
Zimbabwe,Sub-Saharan Africa,3.341,0.748,0.85,0.232,0.487,0.096,0.131,1,0,-2.6581576369299476,-0.08653795974682832
Congo (Kinshasa),Sub-Saharan Africa,3.295,0.534,0.665,0.262,0.473,0.189,0.072,1,0,-3.229143426682004,0.9313183939747247
Sierra Leone,Sub-Saharan Africa,3.245,0.654,0.566,0.253,0.469,0.181,0.053,1,0,-3.3202875422400835,0.7744182925401462
Lesotho,,3.186,0.771,0.851,0.55,0.523,0.082,0.085,1,1,-1.6493888370647192,-0.702938097830372
Lebanon,Middle East and North Africa,2.707,1.377,0.577,0.556,0.173,0.068,0.029,1,0,-2.237105241209619,-2.0632812732129655
Afghanistan,South Asia,1.721,0.628,1.239,0.242,0.641,0.091,0.088,1,0,-1.951771448199451,0.0016812255800137128
